Cm,rep,rate
0,1,0.02813753447612001
0,2,0.03326795040963652
0,3,0.033943841368131694
0,4,0.04059909460957483
1,1,0.03410116310370245
1,2,0.03835803806658021
1,3,0.02591975601721841
1,4,0.03313902315080353
2,1,0.029018867939240824
2,2,0.04007560492008623
2,3,0.03560671593013436
2,4,0.03358100059515058
3,1,0.036809142244974107
3,2,0.01795423888419106
3,3,0.029013724406387487
3,4,0.034400361399922905
4,1,0.034871942434242825
4,2,0.0398611410117567
4,3,0.03213815006229088
4,4,0.03644989902938151
5,1,0.04122435401336917
5,2,0.022428629610168564
5,3,0.03512525152908096
5,4,0.03588108762873377
6,1,0.01900063308856513
6,2,0.03434899992966374
6,3,0.04073375249147516
6,4,0.03133324778793526
7,1,0.026990257704411706
7,2,0.01667541463987307
7,3,0.029452026654001016
7,4,0.0227114459986925
8,1,0.034683493129312355
8,2,0.04260759414223198
8,3,0.03412920997500534
8,4,0.024160939190270042
10,1,0.03522076153588208
10,2,0.009454682604696809
10,3,0.03142564461008473
10,4,0.03420519833818808
